index,typecode,type,count
1,071100,生活服务;美容美发店;美容美发店,112244
2,120302,商务住宅;住宅区;住宅小区,91957
3,130106,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,70464
4,070500,生活服务;物流速递;物流速递,44514
5,070000,生活服务;生活服务场所;生活服务场所,44095
6,071600,生活服务;中介机构;中介机构,35342
7,130407,政府机构及社会团体;社会团体;行业协会,34769
8,130105,政府机构及社会团体;政府机关;乡镇级政府及事业单位,31116
9,120201,商务住宅;楼宇;商务写字楼,29523
10,080306,体育休闲服务;娱乐场所;棋牌室,26538
11,130104,政府机构及社会团体;政府机关;区县级政府及事业单位,23609
12,071200,生活服务;维修站点;维修站点,23468
13,071400,生活服务;洗浴推拿场所;洗浴推拿场所,21256
14,080111,体育休闲服务;运动场馆;健身中心,20679
15,080304,体育休闲服务;娱乐场所;酒吧,20360
16,130400,政府机构及社会团体;社会团体;社会团体相关,19881
17,080308,体育休闲服务;娱乐场所;网吧,16918
18,100100,住宿服务;宾馆酒店;宾馆酒店,16849
19,120303,商务住宅;住宅区;宿舍,16824
20,130501,政府机构及社会团体;公检法机构;公安警察,16642
21,150904,交通设施服务;停车场;公共停车场,16418
22,130103,政府机构及社会团体;政府机关;地市级政府及事业单位,15119
23,130000,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,15021
24,071300,生活服务;摄影冲印店;摄影冲印,14806
25,130100,政府机构及社会团体;政府机关;政府机关相关,14605
26,120300,商务住宅;住宅区;住宅区,14061
27,071800,生活服务;彩票彩券销售点;彩票彩券销售点,14035
28,080000,体育休闲服务;体育休闲服务场所;体育休闲服务场所,13693
29,130505,政府机构及社会团体;公检法机构;公证鉴定机构,13354
30,100200,住宿服务;旅馆招待所;旅馆招待所,13185
31,130506,政府机构及社会团体;公检法机构;社会治安机构,12877
32,110200,风景名胜;风景名胜;风景名胜,12339
33,141300,科教文化服务;科研机构;科研机构,10742
34,130102,政府机构及社会团体;政府机关;省直辖市级政府及事业单位,9810
35,080501,体育休闲服务;休闲场所;游乐场,9490
36,080302,体育休闲服务;娱乐场所;KTV,8609
37,090202,医疗保健服务;专科医院;口腔医院,8318
38,080300,体育休闲服务;娱乐场所;娱乐场所,8099
39,150909,交通设施服务;停车场;停车场出入口,7923
40,080100,体育休闲服务;运动场馆;运动场所,7741
41,080110,体育休闲服务;运动场馆;游泳馆,7657
42,100105,住宿服务;宾馆酒店;经济型连锁酒店,7636
43,070701,生活服务;事务所;律师事务所,7339
44,071500,生活服务;洗衣店;洗衣店,6941
45,070100,生活服务;旅行社;旅行社,6801
46,080113,体育休闲服务;运动场馆;台球厅,6184
47,080500,体育休闲服务;休闲场所;休闲场所,6068
48,100104,住宿服务;宾馆酒店;三星级宾馆,5761
49,130408,政府机构及社会团体;社会团体;慈善机构,4693
50,150906,交通设施服务;停车场;路边停车场,4592
51,080601,体育休闲服务;影剧院;电影院,4524
52,110000,风景名胜;风景名胜相关;旅游景点,4513
53,130403,政府机构及社会团体;社会团体;妇联,4420
54,130404,政府机构及社会团体;社会团体;残联,4418
55,070603,生活服务;电讯营业厅;中国移动营业厅,4412
56,110101,风景名胜;公园广场;公园,4238
57,080402,体育休闲服务;度假疗养场所;疗养院,4231
58,110105,风景名胜;公园广场;城市广场,4187
59,130500,政府机构及社会团体;公检法机构;公检法机关,4095
60,130701,政府机构及社会团体;工商税务机构;工商部门,3935
61,100103,住宿服务;宾馆酒店;四星级宾馆,3795
62,141203,科教文化服务;学校;小学,3676
63,070601,生活服务;电讯营业厅;中国电信营业厅,3671
64,110205,风景名胜;风景名胜;寺庙道观,3524
65,080305,体育休闲服务;娱乐场所;游戏厅,3482
66,080118,体育休闲服务;运动场馆;羽毛球场,3418
67,100201,住宿服务;旅馆招待所;青年旅舍,3285
68,150905,交通设施服务;停车场;专用停车场,3223
69,070604,生活服务;电讯营业厅;中国联通营业厅,3184
70,090102,医疗保健服务;综合医院;卫生院,3085
71,130601,政府机构及社会团体;交通车辆管理;交通管理机构,3081
72,080104,体育休闲服务;运动场馆;篮球场馆,3016
73,080101,体育休闲服务;运动场馆;综合体育馆,2941
74,130703,政府机构及社会团体;工商税务机构;地税机关,2874
75,130107,政府机构及社会团体;政府机关;外地政府办,2870
76,120304,商务住宅;住宅区;社区中心,2865
77,150907,交通设施服务;停车场;停车场入口,2718
78,090201,医疗保健服务;专科医院;整形美容,2653
79,130201,政府机构及社会团体;外国机构;外国使领馆,2548
80,130702,政府机构及社会团体;工商税务机构;国税机关,2532
81,070301,生活服务;售票处;飞机票代售点,2529
82,150908,交通设施服务;停车场;停车场出口,2487
83,090100,医疗保健服务;综合医院;综合医院,2483
84,150700,交通设施服务;公交车站;公交车站相关,2469
85,070702,生活服务;事务所;会计师事务所,2396
86,130504,政府机构及社会团体;公检法机构;消防机关,2371
87,080119,体育休闲服务;运动场馆;跆拳道场馆,2325
88,080105,体育休闲服务;运动场馆;足球场,2249
89,070800,生活服务;人才市场;人才市场,2143
90,110204,风景名胜;风景名胜;纪念馆,2038
91,130406,政府机构及社会团体;社会团体;消费者协会,2030
92,141202,科教文化服务;学校;中学,1966
93,130502,政府机构及社会团体;公检法机构;检察院,1962
94,090101,医疗保健服务;综合医院;三级甲等医院,1950
95,070300,生活服务;售票处;售票处,1874
96,100102,住宿服务;宾馆酒店;五星级宾馆,1745
97,070401,生活服务;邮局;邮政速递,1605
98,072001,生活服务;婴儿服务场所;婴儿游泳馆,1570
99,080603,体育休闲服务;影剧院;剧场,1547
100,080103,体育休闲服务;运动场馆;网球场,1447
101,070400,生活服务;邮局;邮局,1340
102,080112,体育休闲服务;运动场馆;乒乓球馆,1325
103,090200,医疗保健服务;专科医院;专科医院,1267
104,080301,体育休闲服务;娱乐场所;夜总会,1175
105,110102,风景名胜;公园广场;动物园,1161
106,070700,生活服务;事务所;事务所,1132
107,130700,政府机构及社会团体;工商税务机构;工商税务机构,1122
108,110206,风景名胜;风景名胜;教堂,1085
109,130503,政府机构及社会团体;公检法机构;法院,1070
110,070703,生活服务;事务所;评估事务所,1008
111,130401,政府机构及社会团体;社会团体;共青团,893
112,150900,交通设施服务;停车场;停车场相关,834
113,130300,政府机构及社会团体;民主党派;民主党派,789
114,070706,生活服务;事务所;专利事务所,779
115,090202|090300,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,759
116,130603,政府机构及社会团体;交通车辆管理;验车场,727
117,070600,生活服务;电讯营业厅;电讯营业厅,713
118,090203,医疗保健服务;专科医院;眼科医院,697
119,150904|150906,交通设施服务;停车场;公共停车场|交通设施服务;停车场;路边停车场,670
120,070302,生活服务;售票处;火车票代售点,634
121,070306,生活服务;售票处;公园景点售票处,619
122,130405,政府机构及社会团体;社会团体;红十字会,572
123,150501,交通设施服务;地铁站;出入口,538
124,090206,医疗保健服务;专科医院;骨科医院,533
125,120302|120201,商务住宅;住宅区;住宅小区|商务住宅;楼宇;商务写字楼,520
126,130200,政府机构及社会团体;外国机构;外国机构相关,500
127,080502,体育休闲服务;休闲场所;垂钓园,498
128,070501,生活服务;物流速递;物流仓储场地,480
129,110100,风景名胜;公园广场;公园广场,467
